,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
163209,2021-06-18,ES,Afonso Cláudio,city,3376,56,424,True,30586.0,30455.0,3200102.0,11085.20768,1.66
163633,2021-06-18,ES,Alegre,city,2300,50,404,True,30084.0,29975.0,3200201.0,7673.06088,2.17
164037,2021-06-18,ES,Alfredo Chaves,city,2351,35,413,True,14601.0,14636.0,3200300.0,16063.132,1.49
164450,2021-06-18,ES,Alto Rio Novo,city,683,21,425,True,7836.0,7874.0,3200359.0,8674.11735,3.0700000000000003
164875,2021-06-18,ES,Anchieta,city,4651,84,409,True,29263.0,29779.0,3200409.0,15618.3888,1.81
165284,2021-06-18,ES,Apiacá,city,799,33,406,True,7567.0,7554.0,3200508.0,10577.17765,4.130000000000001
165690,2021-06-18,ES,Aracruz,city,15352,219,424,True,101220.0,103101.0,3200607.0,14890.25325,1.43
166114,2021-06-18,ES,Atilio Vivacqua,city,1461,27,397,True,11936.0,12105.0,3200706.0,12069.39281,1.8499999999999999
166511,2021-06-18,ES,Baixo Guandu,city,3413,71,397,True,30998.0,31132.0,3200805.0,10962.99627,2.08
166908,2021-06-18,ES,Barra de São Francisco,city,4642,190,397,True,44650.0,44979.0,3200904.0,10320.371729999999,4.09
167305,2021-06-18,ES,Boa Esperança,city,1536,39,418,True,15037.0,15092.0,3201001.0,10177.57752,2.54
167723,2021-06-18,ES,Bom Jesus do Norte,city,1038,25,410,True,9936.0,9962.0,3201100.0,10419.59446,2.41
168133,2021-06-18,ES,Brejetuba,city,1602,14,409,True,12404.0,12427.0,3201159.0,12891.285109999999,0.8699999999999999
168542,2021-06-18,ES,Cachoeiro de Itapemirim,city,25829,548,436,True,208972.0,210589.0,3201209.0,12265.12306,2.12
168978,2021-06-18,ES,Cariacica,city,38909,1295,436,True,381285.0,383917.0,3201308.0,10134.74267,3.3300000000000005
169414,2021-06-18,ES,Castelo,city,5772,111,430,True,37534.0,37747.0,3201407.0,15291.281430000001,1.92
169844,2021-06-18,ES,Colatina,city,18858,328,422,True,122499.0,123400.0,3201506.0,15282.009719999998,1.7399999999999998
170266,2021-06-18,ES,Conceição da Barra,city,1699,54,397,True,31063.0,31273.0,3201605.0,5432.801460000001,3.18
170663,2021-06-18,ES,Conceição do Castelo,city,1371,26,397,True,12723.0,12806.0,3201704.0,10705.9191,1.9
171060,2021-06-18,ES,Divino de São Lourenço,city,387,7,397,True,4304.0,4270.0,3201803.0,9063.23185,1.81
171457,2021-06-18,ES,Domingos Martins,city,3683,71,404,True,33850.0,33986.0,3201902.0,10836.81516,1.9300000000000002
171861,2021-06-18,ES,Dores do Rio Preto,city,695,11,397,True,6749.0,6771.0,3202009.0,10264.362720000001,1.58
172258,2021-06-18,ES,Ecoporanga,city,3059,62,397,True,22923.0,22835.0,3202108.0,13396.10247,2.03
172655,2021-06-18,ES,Fundão,city,2523,64,423,True,21509.0,21948.0,3202207.0,11495.35265,2.54
173078,2021-06-18,ES,Governador Lindenberg,city,1937,22,397,True,12709.0,12880.0,3202256.0,15038.819880000001,1.1400000000000001
173475,2021-06-18,ES,Guarapari,city,15355,390,428,True,124859.0,126701.0,3202405.0,12119.083509999999,2.54
