,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,media_movel_casos,media_movel_obitos
338477,,32.0,2020-03-05,202010,4064052.0,4018650.0,False,False,1,0.02461,2020-03-05,0.0,0,1,state,ES,1,0,,
338478,,32.0,2020-03-06,202010,4064052.0,4018650.0,False,False,1,0.02461,2020-03-06,0.0,0,2,state,ES,0,0,,
338479,,32.0,2020-03-07,202010,4064052.0,4018650.0,False,False,1,0.02461,2020-03-07,0.0,0,3,state,ES,0,0,,
338480,,32.0,2020-03-08,202011,4064052.0,4018650.0,False,False,1,0.02461,2020-03-08,0.0,0,4,state,ES,0,0,,
338481,,32.0,2020-03-09,202011,4064052.0,4018650.0,False,False,1,0.02461,2020-03-09,0.0,0,5,state,ES,0,0,,
338482,,32.0,2020-03-10,202011,4064052.0,4018650.0,False,False,1,0.02461,2020-03-10,0.0,0,6,state,ES,0,0,,
338483,,32.0,2020-03-11,202011,4064052.0,4018650.0,False,False,1,0.02461,2020-03-11,0.0,0,7,state,ES,0,0,0.14285714285714285,0.0
338484,,32.0,2020-03-12,202011,4064052.0,4018650.0,False,False,2,0.049210000000000004,2020-03-12,0.0,0,8,state,ES,1,0,0.14285714285714285,0.0
338485,,32.0,2020-03-13,202011,4064052.0,4018650.0,False,False,2,0.049210000000000004,2020-03-13,0.0,0,9,state,ES,0,0,0.14285714285714285,0.0
338486,,32.0,2020-03-14,202011,4064052.0,4018650.0,False,False,4,0.09842000000000001,2020-03-14,0.0,0,10,state,ES,2,0,0.42857142857142855,0.0
338487,,32.0,2020-03-15,202012,4064052.0,4018650.0,False,False,4,0.09842000000000001,2020-03-15,0.0,0,11,state,ES,0,0,0.42857142857142855,0.0
338488,,32.0,2020-03-16,202012,4064052.0,4018650.0,False,False,8,0.19685,2020-03-16,0.0,0,12,state,ES,4,0,1.0,0.0
338489,,32.0,2020-03-17,202012,4064052.0,4018650.0,False,False,8,0.19685,2020-03-17,0.0,0,13,state,ES,0,0,1.0,0.0
338490,,32.0,2020-03-18,202012,4064052.0,4018650.0,False,False,11,0.27066999999999997,2020-03-18,0.0,0,14,state,ES,3,0,1.4285714285714286,0.0
338494,,32.0,2020-03-19,202012,4064052.0,4018650.0,False,False,13,0.31988,2020-03-19,0.0,0,15,state,ES,2,0,1.5714285714285714,0.0
338500,,32.0,2020-03-20,202012,4064052.0,4018650.0,False,False,16,0.3937,2020-03-20,0.0,0,16,state,ES,3,0,2.0,0.0
338506,,32.0,2020-03-21,202012,4064052.0,4018650.0,False,False,26,0.63976,2020-03-21,0.0,0,17,state,ES,10,0,3.142857142857143,0.0
338512,,32.0,2020-03-22,202013,4064052.0,4018650.0,False,False,26,0.63976,2020-03-22,0.0,0,18,state,ES,0,0,3.142857142857143,0.0
338520,,32.0,2020-03-23,202013,4064052.0,4018650.0,False,False,33,0.812,2020-03-23,0.0,0,19,state,ES,7,0,3.5714285714285716,0.0
338529,,32.0,2020-03-24,202013,4064052.0,4018650.0,False,False,40,0.98424,2020-03-24,0.0,0,20,state,ES,7,0,4.571428571428571,0.0
338538,,32.0,2020-03-25,202013,4064052.0,4018650.0,False,False,40,0.98424,2020-03-25,0.0,0,21,state,ES,0,0,4.142857142857143,0.0
338548,,32.0,2020-03-26,202013,4064052.0,4018650.0,False,False,48,1.18109,2020-03-26,0.0,0,22,state,ES,8,0,5.0,0.0
338559,,32.0,2020-03-27,202013,4064052.0,4018650.0,False,False,54,1.3287200000000001,2020-03-27,0.0,0,23,state,ES,6,0,5.428571428571429,0.0
338572,,32.0,2020-03-28,202013,4064052.0,4018650.0,False,False,61,1.5009700000000001,2020-03-28,0.0,0,24,state,ES,7,0,5.0,0.0
338586,,32.0,2020-03-29,202014,4064052.0,4018650.0,False,False,72,1.77163,2020-03-29,0.0,0,25,state,ES,11,0,6.571428571428571,0.0
338600,,32.0,2020-03-30,202014,4064052.0,4018650.0,False,False,85,2.09151,2020-03-30,0.0,0,26,state,ES,13,0,7.428571428571429,0.0
338616,,32.0,2020-03-31,202014,4064052.0,4018650.0,False,False,97,2.38678,2020-03-31,0.0,0,27,state,ES,12,0,8.142857142857142,0.0
338634,,32.0,2020-04-01,202014,4064052.0,4018650.0,False,False,120,2.9527200000000002,2020-04-01,0.0,0,28,state,ES,23,0,11.428571428571429,0.0
338654,,32.0,2020-04-02,202014,4064052.0,4018650.0,False,False,139,3.42023,2020-04-02,0.0144,2,29,state,ES,19,2,13.0,0.2857142857142857
338675,,32.0,2020-04-03,202014,4064052.0,4018650.0,False,False,153,3.7647199999999996,2020-04-03,0.0327,5,30,state,ES,14,3,14.142857142857142,0.7142857142857143
338696,,32.0,2020-04-04,202014,4064052.0,4018650.0,False,False,166,4.08459,2020-04-04,0.0361,6,31,state,ES,13,1,15.0,0.8571428571428571
338717,,32.0,2020-04-05,202015,4064052.0,4018650.0,False,False,194,4.77356,2020-04-05,0.0309,6,32,state,ES,28,0,17.428571428571427,0.8571428571428571
338739,,32.0,2020-04-06,202015,4064052.0,4018650.0,False,False,209,5.14265,2020-04-06,0.0287,6,33,state,ES,15,0,17.714285714285715,0.8571428571428571
338763,,32.0,2020-04-07,202015,4064052.0,4018650.0,False,False,227,5.58556,2020-04-07,0.0264,6,34,state,ES,18,0,18.571428571428573,0.8571428571428571
338788,,32.0,2020-04-08,202015,4064052.0,4018650.0,False,False,273,6.71743,2020-04-08,0.022,6,35,state,ES,46,0,21.857142857142858,0.8571428571428571
338813,,32.0,2020-04-09,202015,4064052.0,4018650.0,False,False,300,7.3818,2020-04-09,0.0233,7,36,state,ES,27,1,23.0,0.7142857142857143
338839,,32.0,2020-04-10,202015,4064052.0,4018650.0,False,False,349,8.587489999999999,2020-04-10,0.0229,8,37,state,ES,49,1,28.0,0.42857142857142855
338866,,32.0,2020-04-11,202015,4064052.0,4018650.0,False,False,383,9.42409,2020-04-11,0.0235,9,38,state,ES,34,1,31.0,0.42857142857142855
338895,,32.0,2020-04-12,202016,4064052.0,4018650.0,False,False,430,10.58057,2020-04-12,0.0326,14,39,state,ES,47,5,33.714285714285715,1.1428571428571428
338924,,32.0,2020-04-13,202016,4064052.0,4018650.0,False,False,463,11.39257,2020-04-13,0.0367,17,40,state,ES,33,3,36.285714285714285,1.5714285714285714
338955,,32.0,2020-04-14,202016,4064052.0,4018650.0,False,False,557,13.70553,2020-04-14,0.0323,18,41,state,ES,94,1,47.142857142857146,1.7142857142857142
338988,,32.0,2020-04-15,202016,4064052.0,4018650.0,False,False,734,18.06079,2020-04-15,0.0286,21,42,state,ES,177,3,65.85714285714286,2.142857142857143
339027,,32.0,2020-04-16,202016,4064052.0,4018650.0,False,False,935,23.0066,2020-04-16,0.0299,28,43,state,ES,201,7,90.71428571428571,3.0
339066,,32.0,2020-04-17,202016,4064052.0,4018650.0,False,False,952,23.4249,2020-04-17,0.0294,28,44,state,ES,17,0,86.14285714285714,2.857142857142857
