,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
621360,2021-06-20,MG,,state,1738342,44536,468,True,21168791.0,21292666.0,31.0,8164.04108,2.56
621361,2021-06-19,MG,,state,1733181,44347,467,False,21168791.0,21292666.0,31.0,8139.80269,2.56
621362,2021-06-18,MG,,state,1724506,44068,466,False,21168791.0,21292666.0,31.0,8099.06096,2.56
621363,2021-06-17,MG,,state,1714057,43814,465,False,21168791.0,21292666.0,31.0,8049.98773,2.56
621364,2021-06-16,MG,,state,1705133,43559,464,False,21168791.0,21292666.0,31.0,8008.07658,2.55
621365,2021-06-15,MG,,state,1694681,43206,463,False,21168791.0,21292666.0,31.0,7958.989259999999,2.55
621366,2021-06-14,MG,,state,1684962,43154,462,False,21168791.0,21292666.0,31.0,7913.344440000001,2.56
621367,2021-06-13,MG,,state,1683100,43124,461,False,21168791.0,21292666.0,31.0,7904.59964,2.56
621368,2021-06-12,MG,,state,1678558,42872,460,False,21168791.0,21292666.0,31.0,7883.26835,2.55
621369,2021-06-11,MG,,state,1667905,42589,459,False,21168791.0,21292666.0,31.0,7833.237040000001,2.55
621370,2021-06-10,MG,,state,1657147,42319,458,False,21168791.0,21292666.0,31.0,7782.7126,2.55
621371,2021-06-09,MG,,state,1646104,42000,457,False,21168791.0,21292666.0,31.0,7730.8496700000005,2.55
621372,2021-06-08,MG,,state,1633388,41720,456,False,21168791.0,21292666.0,31.0,7671.12958,2.55
621373,2021-06-07,MG,,state,1623944,41673,455,False,21168791.0,21292666.0,31.0,7626.77628,2.5700000000000003
621374,2021-06-06,MG,,state,1621895,41610,454,False,21168791.0,21292666.0,31.0,7617.15325,2.5700000000000003
621375,2021-06-05,MG,,state,1616876,41479,453,False,21168791.0,21292666.0,31.0,7593.58175,2.5700000000000003
621376,2021-06-04,MG,,state,1610983,41418,452,False,21168791.0,21292666.0,31.0,7565.905559999999,2.5700000000000003
621377,2021-06-03,MG,,state,1605025,41170,451,False,21168791.0,21292666.0,31.0,7537.92409,2.5700000000000003
621378,2021-06-02,MG,,state,1594420,40880,450,False,21168791.0,21292666.0,31.0,7488.11821,2.56
621379,2021-06-01,MG,,state,1579287,40556,449,False,21168791.0,21292666.0,31.0,7417.04679,2.5700000000000003
621380,2021-05-31,MG,,state,1572004,40497,448,False,21168791.0,21292666.0,31.0,7382.84252,2.58
621381,2021-05-30,MG,,state,1569774,40452,447,False,21168791.0,21292666.0,31.0,7372.36943,2.58
