,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
1882200,2021-06-20,SP,,state,3582792,122160,475,True,45919049.0,46289333.0,35.0,7739.99487,3.4099999999999997
1882201,2021-06-19,SP,,state,3573210,121960,474,False,45919049.0,46289333.0,35.0,7719.294640000001,3.4099999999999997
1882202,2021-06-18,SP,,state,3552727,121238,473,False,45919049.0,46289333.0,35.0,7675.0447,3.4099999999999997
1882203,2021-06-17,SP,,state,3525021,120524,472,False,45919049.0,46289333.0,35.0,7615.190740000001,3.42
1882204,2021-06-16,SP,,state,3509967,119905,471,False,45919049.0,46289333.0,35.0,7582.669209999999,3.42
1882205,2021-06-15,SP,,state,3487385,119110,470,False,45919049.0,46289333.0,35.0,7533.88475,3.42
1882206,2021-06-14,SP,,state,3464158,118213,469,False,45919049.0,46289333.0,35.0,7483.70688,3.4099999999999997
1882207,2021-06-13,SP,,state,3458849,118121,468,False,45919049.0,46289333.0,35.0,7472.23772,3.42
1882208,2021-06-12,SP,,state,3449577,117887,467,False,45919049.0,46289333.0,35.0,7452.207190000001,3.42
1882209,2021-06-11,SP,,state,3428356,117344,466,False,45919049.0,46289333.0,35.0,7406.362929999999,3.42
1882210,2021-06-10,SP,,state,3405481,116693,465,False,45919049.0,46289333.0,35.0,7356.9455,3.4299999999999997
1882211,2021-06-09,SP,,state,3382448,115960,464,False,45919049.0,46289333.0,35.0,7307.186729999999,3.4299999999999997
1882212,2021-06-08,SP,,state,3378256,115309,463,False,45919049.0,46289333.0,35.0,7298.13065,3.4099999999999997
1882213,2021-06-07,SP,,state,3370234,114542,462,False,45919049.0,46289333.0,35.0,7280.800520000001,3.4000000000000004
1882214,2021-06-06,SP,,state,3365160,114404,461,False,45919049.0,46289333.0,35.0,7269.839040000001,3.4000000000000004
1882215,2021-06-05,SP,,state,3355201,114192,460,False,45919049.0,46289333.0,35.0,7248.32436,3.4000000000000004
1882216,2021-06-04,SP,,state,3338262,113474,459,False,45919049.0,46289333.0,35.0,7211.73062,3.4000000000000004
1882217,2021-06-03,SP,,state,3334364,113441,458,False,45919049.0,46289333.0,35.0,7203.309670000001,3.4000000000000004
1882218,2021-06-02,SP,,state,3314631,112927,457,False,45919049.0,46289333.0,35.0,7160.67998,3.4099999999999997
1882219,2021-06-01,SP,,state,3291509,112210,456,False,45919049.0,46289333.0,35.0,7110.728940000001,3.4099999999999997
1882220,2021-05-31,SP,,state,3272043,111374,455,False,45919049.0,46289333.0,35.0,7068.67606,3.4000000000000004
1882221,2021-05-30,SP,,state,3265930,111304,454,False,45919049.0,46289333.0,35.0,7055.4699900000005,3.4099999999999997
1882222,2021-05-29,SP,,state,3254893,111123,453,False,45919049.0,46289333.0,35.0,7031.626490000001,3.4099999999999997
1882223,2021-05-28,SP,,state,3241240,110553,452,False,45919049.0,46289333.0,35.0,7002.1315700000005,3.4099999999999997
1882224,2021-05-27,SP,,state,3239657,109850,451,False,45919049.0,46289333.0,35.0,6998.71178,3.39
1882225,2021-05-26,SP,,state,3226875,109241,450,False,45919049.0,46289333.0,35.0,6971.0985,3.39
1882226,2021-05-25,SP,,state,3210204,108575,449,False,45919049.0,46289333.0,35.0,6935.083729999999,3.38
1882227,2021-05-24,SP,,state,3192727,107677,448,False,45919049.0,46289333.0,35.0,6897.32773,3.37
1882228,2021-05-23,SP,,state,3188105,107614,447,False,45919049.0,46289333.0,35.0,6887.342709999999,3.38
1882229,2021-05-22,SP,,state,3180595,107497,446,False,45919049.0,46289333.0,35.0,6871.118670000001,3.38
1882230,2021-05-21,SP,,state,3163859,107017,445,False,45919049.0,46289333.0,35.0,6834.963470000001,3.38
1882231,2021-05-20,SP,,state,3147348,106437,444,False,45919049.0,46289333.0,35.0,6799.29434,3.38
1882232,2021-05-19,SP,,state,3129412,105852,443,False,45919049.0,46289333.0,35.0,6760.54675,3.38
1882233,2021-05-18,SP,,state,3112624,105105,442,False,45919049.0,46289333.0,35.0,6724.27922,3.38
1882234,2021-05-17,SP,,state,3096845,104295,441,False,45919049.0,46289333.0,35.0,6690.19145,3.37
1882235,2021-05-16,SP,,state,3092844,104219,440,False,45919049.0,46289333.0,35.0,6681.54799,3.37
1882236,2021-05-15,SP,,state,3085290,103995,439,False,45919049.0,46289333.0,35.0,6665.2289,3.37
1882237,2021-05-14,SP,,state,3069804,103493,438,False,45919049.0,46289333.0,35.0,6631.77411,3.37
1882238,2021-05-13,SP,,state,3053889,102934,437,False,45919049.0,46289333.0,35.0,6597.39254,3.37
1882239,2021-05-12,SP,,state,3038240,102356,436,False,45919049.0,46289333.0,35.0,6563.58561,3.37
1882240,2021-05-11,SP,,state,3022568,101660,435,False,45919049.0,46289333.0,35.0,6529.729,3.36
1882241,2021-05-10,SP,,state,3006250,100854,434,False,45919049.0,46289333.0,35.0,6494.47682,3.35
1882242,2021-05-09,SP,,state,3003067,100799,433,False,45919049.0,46289333.0,35.0,6487.6005,3.36
1882243,2021-05-08,SP,,state,2997282,100649,432,False,45919049.0,46289333.0,35.0,6475.1030200000005,3.36
1882244,2021-05-07,SP,,state,2984182,99989,431,False,45919049.0,46289333.0,35.0,6446.80277,3.35
